Symbol,Company Name,Industry
TATAELXSI,Tata Elxsi,Information Technology
OFSS,Oracle Financial Services Software,Information Technology
HAPPSTMNDS,Happiest Minds Technologies,Information Technology
ZENSARTECH,Zensar Technologies,Information Technology
CYIENT,Cyient,Information Technology
FSL,Firstsource Solutions,Information Technology
NAM-INDIA,Nippon Life India Asset Management,Financial Services
UTIAMC,UTI Asset Management Company,Financial Services
HDFCAMC,HDFC Asset Management Company,Financial Services
ABCAPITAL,Aditya Birla Capital,Financial Services
LTF,L&T Finance,Financial Services
IIFL,IIFL Finance,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment,Financial Services
